instance,cost,time_ms,approx_ratio
test4,4.0, 0.0271768,1.0
test18,210.0, 0.138799,1.1667
test20,268.0, 0.16313,1.34
test22,308.0, 0.190599,1.4
test24,348.0, 0.219883,1.45
a280,3549.0, 16.7674,1.3761
xql662,3537.0, 104.263,1.4075
kz9976,1455342.0, 23874,1.3705
mona-lisa_sample,2733985.0, 19060.9,N/A
