instance,cost,time_ms,approx_ratio
test4,4.0, 0.0141662,1.0
test18,180.0, 285.244,1.0
test20,200.0, 1392.79,1.0
test22,220.0, 6743.49,1.0
test24,240.0, 31914.4,1.0
