instance,cost,time_ms,approx_ratio
test4,4.0, 0.239387,1.0
test18,236.0, 0.555599,1.3111
test20,264.0, 0.682197,1.32
test22,280.0, 0.79372,1.2727
test24,311.0, 0.75791,1.2958
a280,3796.0, 21.0762,1.4719
xql662,3998.0, 93.3531,1.5909
kz9976,1638824.0, 24926.8,1.5433
mona-lisa_sample,2728769.0, 25573.1,N/A
