instance,cost,time_ms,approx_ratio
test4,4.0,0.030059,1.0
test18,180.0,0.185098,1.0
test20,212.0,0.185546,1.06
test22,232.0,0.207067,1.0545
test24,252.0,0.210501,1.05
a280,2922.0,20.744467,1.133
xql662,3020.0,120.100000,1.2018
kz9976,1270665.0,32756.266667,1.1966
mona-lisa_sample,2249093.0,33492.666667,N/A
